17, 1596699422.932062, 163, 1024, 0.0068814754486083984, 0:00:00.003872
18, 1596699422.9390483, 1325211, 5242880, 0.559424638748169, 0:00:00.554060
0, 1596699423.4985757, 9217283, 10485760, 1.1157457828521729, 0:00:01.103188
1, 1596699424.614671, 162610, 512000, 0.05960679054260254, 0:00:00.058153
2, 1596699424.674366, 7349619, 10485760, 1.1176378726959229, 0:00:01.105522
3, 1596699425.7921147, 46172, 102400, 0.015375614166259766, 0:00:00.014451
4, 1596699425.807586, 617913, 1048576, 0.11505794525146484, 0:00:00.113101
19, 1596699425.9227374, 77785, 102400, 0.015054702758789062, 0:00:00.014211
5, 1596699425.9378633, 2876727, 5242880, 0.5587105751037598, 0:00:00.552995
6, 1596699426.4966784, 2882032, 5242880, 0.5588819980621338, 0:00:00.553293
7, 1596699427.0557506, 18787, 102400, 0.015211820602416992, 0:00:00.014316
8, 1596699427.071036, 687872, 1048576, 0.11422514915466309, 0:00:00.112321
9, 1596699427.1853483, 617913, 1048576, 0.12076854705810547, 0:00:00.118869
10, 1596699427.306207, 1972575, 5242880, 0.5582218170166016, 0:00:00.552580
11, 1596699427.8645291, 1248844, 5242880, 0.5600709915161133, 0:00:00.554542
12, 1596699428.4247046, 915322, 1048576, 0.11516785621643066, 0:00:00.113230
13, 1596699428.5399637, 20679, 102400, 0.015187978744506836, 0:00:00.014323
14, 1596699428.5552227, 168472, 512000, 0.05950331687927246, 0:00:00.058174
15, 1596699428.6148028, 1111580, 5242880, 0.559556245803833, 0:00:00.553732
16, 1596699429.1744573, 186393, 512000, 0.05970597267150879, 0:00:00.058240
